destination,TransferIn_Recruit
Akron,9
Alabama,4
Appalachian State,4
Arizona,3
Arizona State,9
Arkansas,3
Arkansas State,4
Auburn,4
BYU,3
Ball State,2
Baylor,1
Boise State,2
Boston College,3
Bowling Green,3
Buffalo,11
California,3
Central Michigan,1
Cincinnati,4
Clemson,1
Coastal Carolina,1
Colorado,4
Colorado State,7
Connecticut,7
Duke,3
East Carolina,7
Eastern Michigan,3
Florida,5
Florida Atlantic,5
Florida International,5
Florida State,9
Fresno State,4
Georgia Southern,7
Georgia State,3
Georgia Tech,10
Hawai'i,6
Houston,8
Illinois,4
Indiana,6
Iowa,1
Iowa State,2
Kansas,7
Kansas State,2
Kent State,2
Kentucky,4
LSU,5
Liberty,8
Louisiana,1
Louisiana Monroe,2
Louisiana Tech,3
Louisville,3
Marshall,6
Maryland,2
Memphis,4
Miami,4
Miami (OH),4
Michigan,1
Michigan State,4
Middle Tennessee,6
Minnesota,2
Mississippi State,3
Missouri,4
NC State,1
Nebraska,7
Nevada,11
New Mexico,5
New Mexico State,3
North Carolina,2
North Texas,6
Northern Illinois,2
Northwestern,1
Ohio,2
Oklahoma,7
Oklahoma State,3
Old Dominion,2
Ole Miss,10
Oregon,4
Oregon State,1
Penn State,2
Pittsburgh,6
Purdue,5
Rice,3
Rutgers,6
SMU,8
San Diego State,4
San José State,6
South Alabama,7
South Carolina,8
South Florida,7
Southern Mississippi,3
Syracuse,5
TCU,6
Temple,7
Tennessee,5
Texas,5
Texas A&M,1
Texas State,11
Texas Tech,9
Toledo,3
Troy,3
Tulane,5
Tulsa,5
UAB,1
UCF,8
UCLA,5
UMass,7
UNLV,4
USC,8
UT San Antonio,3
Utah,2
Utah State,4
Vanderbilt,2
Virginia,4
Virginia Tech,4
Wake Forest,1
Washington,5
Washington State,4
West Virginia,3
Western Kentucky,6
Western Michigan,3
Wisconsin,1
Wyoming,1
