destination,TransferIn_Recruit,Year
Air Force,0,2021
Akron,2,2021
Alabama,1,2021
Appalachian State,4,2021
Arizona,7,2021
Arizona State,3,2021
Arkansas,2,2021
Arkansas State,10,2021
Army,0,2021
Auburn,3,2021
BYU,2,2021
Ball State,1,2021
Baylor,4,2021
Boise State,3,2021
Boston College,2,2021
Bowling Green,2,2021
Buffalo,3,2021
California,0,2021
Central Michigan,2,2021
Charlotte,5,2021
Cincinnati,1,2021
Clemson,0,2021
Coastal Carolina,2,2021
Colorado,4,2021
Colorado State,3,2021
Connecticut,2,2021
Duke,4,2021
East Carolina,6,2021
Eastern Michigan,3,2021
Florida,2,2021
Florida Atlantic,5,2021
Florida International,0,2021
Florida State,4,2021
Fresno State,3,2021
Georgia,1,2021
Georgia Southern,2,2021
Georgia State,2,2021
Georgia Tech,4,2021
Hawai'i,1,2021
Houston,6,2021
Illinois,5,2021
Indiana,4,2021
Iowa,0,2021
Iowa State,0,2021
Kansas,7,2021
Kansas State,2,2021
Kent State,3,2021
Kentucky,4,2021
LSU,0,2021
Liberty,2,2021
Louisiana,7,2021
Louisiana Monroe,11,2021
Louisiana Tech,6,2021
Louisville,3,2021
Marshall,3,2021
Maryland,1,2021
Memphis,7,2021
Miami,2,2021
Miami (OH),1,2021
Michigan,3,2021
Michigan State,6,2021
Middle Tennessee,4,2021
Minnesota,2,2021
Mississippi State,5,2021
Missouri,2,2021
NC State,1,2021
Navy,0,2021
Nebraska,3,2021
Nevada,3,2021
New Mexico,3,2021
New Mexico State,1,2021
North Carolina,1,2021
North Texas,3,2021
Northern Illinois,1,2021
Northwestern,4,2021
Notre Dame,2,2021
Ohio,1,2021
Ohio State,0,2021
Oklahoma,7,2021
Oklahoma State,4,2021
Old Dominion,5,2021
Ole Miss,1,2021
Oregon,0,2021
Oregon State,4,2021
Penn State,2,2021
Pittsburgh,3,2021
Purdue,4,2021
Rice,3,2021
Rutgers,3,2021
SMU,9,2021
San Diego State,2,2021
San José State,6,2021
South Alabama,8,2021
South Carolina,3,2021
South Florida,5,2021
Southern Mississippi,2,2021
Stanford,0,2021
Syracuse,2,2021
TCU,4,2021
Temple,5,2021
Tennessee,3,2021
Texas,2,2021
Texas A&M,1,2021
Texas State,9,2021
Texas Tech,4,2021
Toledo,3,2021
Troy,2,2021
Tulane,2,2021
Tulsa,5,2021
UAB,3,2021
UCF,7,2021
UCLA,3,2021
UMass,7,2021
UNLV,4,2021
USC,6,2021
UT San Antonio,2,2021
UTEP,1,2021
Utah,6,2021
Utah State,8,2021
Vanderbilt,3,2021
Virginia,3,2021
Virginia Tech,3,2021
Wake Forest,2,2021
Washington,2,2021
Washington State,4,2021
West Virginia,1,2021
Western Kentucky,13,2021
Western Michigan,0,2021
Wisconsin,1,2021
Wyoming,0,2021
