destination,TransferIn_Recruit,Year
Air Force,2,2021
Akron,1,2021
Alabama,2,2021
Appalachian State,3,2021
Arizona,9,2021
Arizona State,4,2021
Arkansas,3,2021
Arkansas State,7,2021
Army,0,2021
Auburn,7,2021
BYU,3,2021
Ball State,1,2021
Baylor,2,2021
Boise State,3,2021
Boston College,4,2021
Bowling Green,3,2021
Buffalo,3,2021
California,3,2021
Central Michigan,1,2021
Charlotte,6,2021
Cincinnati,2,2021
Clemson,0,2021
Coastal Carolina,2,2021
Colorado,2,2021
Colorado State,3,2021
Connecticut,0,2021
Duke,3,2021
East Carolina,5,2021
Eastern Michigan,0,2021
Florida,4,2021
Florida Atlantic,2,2021
Florida International,0,2021
Florida State,8,2021
Fresno State,5,2021
Georgia,2,2021
Georgia Southern,2,2021
Georgia State,1,2021
Georgia Tech,5,2021
Hawai'i,5,2021
Houston,4,2021
Illinois,4,2021
Indiana,4,2021
Iowa,1,2021
Iowa State,1,2021
Kansas,6,2021
Kansas State,6,2021
Kent State,4,2021
Kentucky,3,2021
LSU,2,2021
Liberty,4,2021
Louisiana,2,2021
Louisiana Monroe,4,2021
Louisiana Tech,3,2021
Louisville,3,2021
Marshall,3,2021
Maryland,0,2021
Memphis,5,2021
Miami,2,2021
Miami (OH),1,2021
Michigan,2,2021
Michigan State,8,2021
Middle Tennessee,2,2021
Minnesota,3,2021
Mississippi State,3,2021
Missouri,3,2021
NC State,3,2021
Navy,0,2021
Nebraska,2,2021
Nevada,3,2021
New Mexico,1,2021
New Mexico State,0,2021
North Carolina,0,2021
North Texas,8,2021
Northern Illinois,0,2021
Northwestern,3,2021
Notre Dame,2,2021
Ohio,0,2021
Ohio State,0,2021
Oklahoma,2,2021
Oklahoma State,1,2021
Old Dominion,2,2021
Ole Miss,2,2021
Oregon,0,2021
Oregon State,2,2021
Penn State,4,2021
Pittsburgh,1,2021
Purdue,4,2021
Rice,0,2021
Rutgers,4,2021
SMU,4,2021
San Diego State,0,2021
San José State,2,2021
South Alabama,5,2021
South Carolina,5,2021
South Florida,5,2021
Southern Mississippi,6,2021
Stanford,1,2021
Syracuse,1,2021
TCU,2,2021
Temple,6,2021
Tennessee,6,2021
Texas,6,2021
Texas A&M,0,2021
Texas State,10,2021
Texas Tech,7,2021
Toledo,2,2021
Troy,5,2021
Tulane,3,2021
Tulsa,1,2021
UAB,3,2021
UCF,3,2021
UCLA,5,2021
UMass,3,2021
UNLV,2,2021
USC,3,2021
UT San Antonio,7,2021
UTEP,3,2021
Utah,2,2021
Utah State,4,2021
Vanderbilt,0,2021
Virginia,3,2021
Virginia Tech,3,2021
Wake Forest,4,2021
Washington,2,2021
Washington State,3,2021
West Virginia,1,2021
Western Kentucky,6,2021
Western Michigan,1,2021
Wisconsin,1,2021
Wyoming,1,2021
