ID,destination,TransferIn_Recruit
1,Air Force,0
2,Akron,9
3,Alabama,4
4,Appalachian State,4
5,Arizona,3
6,Arizona State,9
7,Arkansas,3
8,Arkansas State,4
9,Army,0
10,Auburn,4
11,Ball State,2
12,Baylor,1
13,Boise State,2
14,Boston College,3
15,Bowling Green,3
16,Buffalo,11
17,BYU,3
18,California,3
19,Central Michigan,1
20,Charlotte,0
21,Cincinnati,4
22,Clemson,1
23,Coastal Carolina,1
24,Colorado,4
25,Colorado State,7
26,Connecticut,7
27,Duke,3
28,East Carolina,7
29,Eastern Michigan,3
30,Florida,5
31,Florida Atlantic,5
32,Florida International,5
33,Florida State,9
34,Fresno State,4
35,Georgia,0
36,Georgia Southern,7
37,Georgia State,3
38,Georgia Tech,10
39,Hawai'i,6
40,Houston,8
41,Illinois,4
42,Indiana,6
43,Iowa,1
44,Iowa State,2
45,Kansas,7
46,Kansas State,2
47,Kent State,2
48,Kentucky,4
49,Liberty,8
50,Louisiana,1
51,Louisiana Monroe,2
52,Louisiana Tech,3
53,Louisville,3
54,LSU,5
55,Marshall,6
56,Maryland,2
57,Memphis,4
58,Miami,4
59,Miami (OH),4
60,Michigan,1
61,Michigan State,4
62,Middle Tennessee,6
63,Minnesota,2
64,Mississippi State,3
65,Missouri,4
66,Navy,0
67,NC State,1
68,Nebraska,7
69,Nevada,11
70,New Mexico,5
71,New Mexico State,3
72,North Carolina,2
73,Northern Illinois,2
74,North Texas,6
75,Northwestern,1
76,Notre Dame,0
77,Ohio,2
78,Ohio State,0
79,Oklahoma,7
80,Oklahoma State,3
81,Old Dominion,2
82,Ole Miss,10
83,Oregon,4
84,Oregon State,1
85,Penn State,2
86,Pittsburgh,6
87,Purdue,5
88,Rice,3
89,Rutgers,6
90,San Diego State,4
91,San José State,6
92,SMU,8
93,South Alabama,7
94,South Carolina,8
95,Southern Mississippi,3
96,South Florida,7
97,Stanford,0
98,Syracuse,5
99,TCU,6
100,Temple,7
101,Tennessee,5
102,Texas,5
103,Texas A&M,1
104,Texas State,11
105,Texas Tech,9
106,Toledo,3
107,Troy,3
108,Tulane,5
109,Tulsa,5
110,UAB,1
111,UCF,8
112,UCLA,5
113,UMass,7
114,UNLV,4
115,USC,8
116,Utah,2
117,Utah State,4
118,UTEP,0
119,UT San Antonio,3
120,Vanderbilt,2
121,Virginia,4
122,Virginia Tech,4
123,Wake Forest,1
124,Washington,5
125,Washington State,4
126,Western Kentucky,6
127,Western Michigan,3
128,West Virginia,3
129,Wisconsin,1
130,Wyoming,1
